Titre	Auteur	URL	Nom fichier	URL source année fin écriture	Année fin écriture	Nom auteur	Id auteur wikidata	URI œuvre data.bnf	Nb tokens	Nb words	Licence
Perdue	Henry Gréville	https://beq.ebooksgratuits.com/vents-epub/Greville-Perdue.epub	1881_Perdue	https://fr.wikipedia.org/wiki/Henry_Gréville, https://data.bnf.fr/fr/12122534/henry_greville/	1881	Gréville	Q2266038		69506	76733	Domaine public
Une histoire de revenants	Paul Féval	https://beq.ebooksgratuits.com/vents-epub/Feval_Une_histoire_de_revenants.epub	1881_Une_histoire_de_revenants	https://catalogue.bnf.fr/ark:/12148/cb30432969m, https://fr.wikisource.org/wiki/Auteur:Paul_Féval	1881	Féval	Q472568		44284	48472	Domaine public
10. Pot-bouille.	Émile Zola	http://beq.ebooksgratuits.com/vents-epub/Zola-10.epub	1882_10_Pot-bouille	https://catalogue.bnf.fr/ark:/12148/cb35691939q	1882	Zola	Q504	http://data.bnf.fr/ark:/12148/cb135370582#about	133016	146103	Domaine public
L’École des Robinsons	Jules Verne	https://beq.ebooksgratuits.com/vents-epub/Verne_Lecole_des_Robinsons.epub	1882_L_Ecole_des_Robinsons	https://fr.wikisource.org/wiki/Auteur:Jules_Verne	1882	Verne	Q33977		54104	60263	Domaine public
Le Mariage de Gabrielle	Daniel Lesueur	https://www.daniel-lesueur.com/wp-content/documents/bibliographie/le-mariage-de-gabrielle_daniel-lesueur.epub	1882_Le_Mariage_de_Gabrielle	https://www.daniel-lesueur.com/fr/bibliographie-complete-de-daniel-lesueur-1854-1921/l-oeuvre-litteraire/	1882	Lesueur	Q5217915		54852	59349	Domaine public
Le Rayon vert	Jules Verne	https://beq.ebooksgratuits.com/vents-epub/Verne_Le_Rayon_Vert.epub	1882_Le_Rayon_vert	https://fr.wikisource.org/wiki/Auteur:Jules_Verne	1882	Verne	Q33977	http://data.bnf.fr/ark:/12148/cb124138337#about	46927	52088	Domaine public
11. Au Bonheur des dames.	Émile Zola	http://beq.ebooksgratuits.com/vents-epub/Zola-11.epub	1883_11_Au_Bonheur_des_dames	https://catalogue.bnf.fr/ark:/12148/cb35691939q	1883	Zola	Q504	http://data.bnf.fr/ark:/12148/cb11962742f#about	145247	158640	Domaine public
Angèle	Henry Gréville	https://beq.ebooksgratuits.com/vents-epub/Greville_Angele.epub	1883_Angele	https://data.bnf.fr/fr/12122534/henry_greville/	1883	Gréville	Q2266038		72702	80813	Domaine public
Kéraban-le-Têtu	Jules Verne	https://beq.ebooksgratuits.com/vents-epub/Verne_Keraban_le_Tetu.epub	1883_Keraban-le-Tetu	https://fr.wikisource.org/wiki/Auteur:Jules_Verne	1883	Verne	Q33977	http://data.bnf.fr/ark:/12148/cb14459395z#about	101471	112696	Domaine public
L’Amant de Geneviève	Daniel Lesueur	https://www.daniel-lesueur.com/wp-content/documents/bibliographie/l-amant-de-genevieve_daniel-lesueur.epub	1883_L_Amant_de_Genevieve	https://www.daniel-lesueur.com/fr/bibliographie-complete-de-daniel-lesueur-1854-1921/l-oeuvre-litteraire/	1883	Lesueur	Q5217915		55116	59237	Domaine public
